explicit,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_y,time_signature,release_date,artist,year,month,year_2
FALSE,6lDo13SSgTv0WbyUQKgnjk,Light It Up (feat. Nyla & Fuse ODG) - Remix,50,0.746,0.877,A,-3.782,Minor,0.0666,0.0375,0.000833,0.233,0.751,107.985,166138,4,11/27/2015,Major Lazer,2015,11,2015
FALSE,2rb5MvYT7ZIxbKW5hfcHx8,Mi Gente,1,0.543,0.677,B,-4.915,Minor,0.0993,0.0148,6.21E-06,0.13,0.294,103.809,189440,4,6/30/2017,J Balvin,2017,6,2017
FALSE,06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),80,0.728,0.563,C#/Db,-8.053,Minor,0.134,0.621,0,0.179,0.352,100.017,217707,4,1/29/2016,Charlie Puth,2016,1,2016
FALSE,519uJbE3zyKLlToVA65PrP,Counting Stars,0,0.665,0.7,C#/Db,-4.946,Minor,0.042,0.066,0,0.119,0.473,121.961,257267,4,1/1/2013,OneRepublic,2013,1,2013
TRUE,6DrBnEWZ5kxvBiBaDaGQnc,Sugar,0,0.743,0.764,C#/Db,-7.071,Major,0.0339,0.0625,0,0.0854,0.895,120.045,235493,4,8/29/2014,Maroon 5,2014,8,2014
FALSE,0mel2N9Ws9r4yLQn5QE21Y,Too Good At Goodbyes - Edit,0,0.653,0.378,F,-8.273,Major,0.0533,0.658,0,0.177,0.54,91.835,201000,4,9/8/2017,Sam Smith,2017,9,2017
TRUE,0ysmhSqZrkiRkRH4mH8rDn,The Hills,0,0.576,0.55,C,-7.01,Minor,0.0649,0.083,0,0.139,0.107,113.048,242519,4,5/27/2015,The Weeknd,2015,5,2015
FALSE,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,84,0.641,0.922,D,-4.457,Major,0.0786,0.0291,0,0.0862,0.847,146.078,258343,4,10/9/2012,Macklemore & Ryan Lewis,2012,10,2012
FALSE,2Z8WuEywRWYTKe1NybPQEW,Ride,82,0.645,0.713,F#/Gb,-5.355,Major,0.0393,0.00835,0,0.113,0.566,74.989,214507,4,5/15/2015,Twenty One Pilots,2015,5,2015
FALSE,1UfBAJfmofTffrae5ls6DA,Hotline Bling,0,0.893,0.639,D,-7.857,Major,0.0549,0.00226,0.000315,0.0382,0.579,134.963,267024,4,7/31/2015,Drake,2015,7,2015
TRUE,46THN9jjPWhSqFUu6YsBhv,Panda,0,0.679,0.734,Bb,-5.542,Minor,0.444,0.0241,1.65E-06,0.369,0.245,145.028,247867,4,2/26/2016,Desiigner,2016,2,2016
TRUE,0bAkKNCQfWkexHFn7fIKns,In My Feelings,2,0.735,0.482,Ab,-9.445,Major,0.139,0.00623,0.0144,0.448,0.315,181.995,217933,4,6/29/2018,Drake,2018,6,2018
FALSE,23L5CiUhw2jV1OIMwthR3S,In the Name of Love,79,0.501,0.519,E,-5.88,Minor,0.0409,0.109,0,0.454,0.168,133.99,195707,4,7/29/2016,Martin Garrix,2016,7,2016
TRUE,2Aa1wE8ofs2tu59TOQrZKW,Cake By The Ocean,0,0.774,0.765,E,-5.503,Minor,0.0517,0.156,0,0.0523,0.908,119.018,218440,4,10/23/2015,DNCE,2015,10,2015
TRUE,40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",76,0.756,0.674,C,-6.518,Minor,0.0959,0.0184,0,0.158,0.389,111.995,251467,4,12/4/2015,G-Eazy,2015,12,2015
FALSE,66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),75,0.432,0.781,E,-4.038,Minor,0.0567,0.041,4.21E-06,0.0789,0.197,139.432,250286,4,2/24/2015,Jack Ü,2015,2,2015
FALSE,0r4SsYcwvd8URat6AS2m6f,Lush Life,0,0.694,0.712,G,-3.923,Minor,0.046,0.133,0,0.211,0.799,98.022,201122,4,6/9/2015,Zara Larsson,2015,6,2015
TRUE,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",80,0.492,0.275,F#/Gb,-13.4,Minor,0.3,0.687,0,0.101,0.18,92.6,251034,4,3/25/2016,gnash,2016,3,2016
FALSE,7y2YUIyCuVhBidENVT0068,"Love Me Like You Do - From ""Fifty Shades Of Grey""",1,0.258,0.631,F,-6.617,Minor,0.0541,0.281,0,0.127,0.266,189.583,252539,4,1/7/2015,Ellie Goulding,2015,1,2015
FALSE,2Oehrcv4Kov0SuIgWyQY9e,Demons,0,0.327,0.71,Eb,-2.928,Major,0.0547,0.202,9.00E-05,0.28,0.416,179.561,175200,4,9/4/2012,Imagine Dragons,2012,9,2012
TRUE,5aFQU3VPCQ3YGfKBA4tLfj,1-800-273-8255,1,0.627,0.572,F,-7.738,Minor,0.0373,0.568,1.52E-06,0.198,0.361,100.041,250173,4,5/5/2017,Logic,2017,5,2017
FALSE,4RepvCWqsP6zBuzvwYibAS,I Feel It Coming,2,0.769,0.813,C,-5.9,Minor,0.143,0.429,0,0.0952,0.567,92.985,269187,4,11/25/2016,The Weeknd,2016,11,2016
FALSE,1KqlVt63Q4bl1VdSlymr5C,Riptide,55,0.484,0.731,C#/Db,-6.694,Major,0.0379,0.431,0,0.151,0.51,101.654,204280,4,5/21/2013,Vance Joy,2013,5,2013
FALSE,0dA2Mk56wEzDgegdC6R17g,Stay (with Alessia Cara),1,0.679,0.634,F,-5.024,Minor,0.0654,0.232,0,0.115,0.498,102.013,210091,4,2/23/2017,Zedd,2017,2,2017
FALSE,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,1,0.857,0.8,D,-4.035,Major,0.0583,0.381,0,0.0913,0.966,121.996,199440,4,4/20/2017,Shawn Mendes,2017,4,2017
TRUE,2mdxJLJHzFmiiYdTZ8JcyH,I Fall Apart,0,0.565,0.55,Ab,-5.357,Minor,0.0397,0.0782,0,0.196,0.302,143.927,223347,4,12/9/2016,Post Malone,2016,12,2016
TRUE,11KJSRSgaDxqydKYiD2Jew,Too Good,0,0.804,0.648,G,-7.805,Major,0.117,0.0573,3.49E-05,0.102,0.392,117.983,263373,4,5/6/2016,Drake,2016,5,2016
TRUE,3rOSwuTsUlJp0Pu0MkN8r8,Mask Off,44,0.833,0.434,D,-8.795,Major,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4,8/4/2017,Future,2017,8,2017
FALSE,2zDt2TfQbxiSPjTVJTgbwz,Starving,0,0.724,0.628,E,-4.219,Major,0.0962,0.409,0,0.105,0.524,99.898,181880,4,7/22/2016,Hailee Steinfeld,2016,7,2016
FALSE,7vGuf3Y35N4wmASOKLUVVU,Silence,82,0.52,0.761,E,-3.093,Major,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823,4,8/11/2017,Marshmello,2017,8,2017
FALSE,6OZh916QF8XNunWaP97WEZ,Fast Car,1,0.459,0.587,A,-6.983,Major,0.0785,0.453,0,0.307,0.581,113.901,212424,4,12/4/2015,Jonas Blue,2015,12,2015
FALSE,3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),74,0.799,0.586,B,-6.735,Major,0.0377,0.162,2.03E-06,0.193,0.549,120.97,227833,4,1/17/2014,Clean Bandit,2014,1,2014
TRUE,0IKK48xF4eEdfofyaeKWWO,PILLOWTALK,62,0.588,0.702,B,-4.271,Major,0.0496,0.104,0,0.089,0.429,124.909,203686,4,8/22/2016,ZAYN,2016,8,2016
FALSE,66qlqxhEMpSHOzjRK4il0b,Castle on the Hill,61,0.461,0.834,D,-4.868,Major,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,261154,4,1/6/2017,Ed Sheeran,2017,1,2017
FALSE,15vzANxN8G9wWfwAJLLMCg,Paris,72,0.646,0.644,D,-6.763,Major,0.031,0.0243,0,0.0888,0.251,99.999,221520,4,1/13/2017,The Chainsmokers,2017,1,2017
TRUE,6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),77,0.696,0.817,C#/Db,-3.862,Major,0.109,0.075,0,0.187,0.782,98.064,216409,4,2/23/2017,Jason Derulo,2017,2,2017
FALSE,5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),78,0.636,0.815,F,-5.098,Minor,0.0581,0.0185,0,0.163,0.636,123.063,219043,4,9/25/2015,Robin Schulz,2015,9,2015
FALSE,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),82,0.791,0.862,A,-3.24,Minor,0.11,0.037,2.19E-05,0.0814,0.592,123.994,214847,4,4/6/2018,Calvin Harris,2018,4,2018
TRUE,7LOnWbR6p2YqaGDWQPP8jJ,IDGAF,0,0.835,0.552,G,-5.662,Major,0.0871,0.0474,0,0.0767,0.531,97.004,218173,4,6/2/2017,Dua Lipa,2017,6,2017
FALSE,3FWPoYBDserKdzcattMFGa,Roses (feat. ROZES),61,0.718,0.808,E,-7.652,Major,0.0473,0.0299,0.00414,0.225,0.309,100.033,225813,4,10/23/2015,The Chainsmokers,2015,10,2015
TRUE,3twQx3psUMJKj4wna5d1zU,Trap Queen,45,0.746,0.873,G,-3.803,Major,0.128,0.0244,0,0.354,0.817,148.075,222093,4,12/15/2014,Fetty Wap,2014,12,2014
FALSE,0afhq8XCExXpqazXczTSve,Galway Girl,79,0.624,0.876,A,-3.374,Major,0.1,0.0735,0,0.327,0.781,99.943,170827,4,3/3/2017,Ed Sheeran,2017,3,2017
FALSE,152lZdxL1OR0ZMW6KquMif,Location,80,0.736,0.449,C#/Db,-11.462,Minor,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,4,4/27/2017,Khalid,2017,4,2017
FALSE,2sNvitW3TxiTeC9xT9f2ZZ,Firestone,20,0.486,0.652,B,-7.226,Minor,0.052,0.408,6.63E-05,0.077,0.391,113.055,273684,4,6/24/2015,Kygo,2015,6,2015
FALSE,5b88tNINg4Q4nrRbrCXUmg,"Happy - From ""Despicable Me 2""",5,0.647,0.822,F,-4.662,Minor,0.183,0.219,0,0.0908,0.962,160.019,232720,4,3/3/2014,Pharrell Williams,2014,3,2014
FALSE,7oGZAicScQt96OAW4AruYy,Want to Want Me,76,0.775,0.68,C,-5.508,Minor,0.0629,0.00906,0,0.109,0.656,114.025,207719,4,5/29/2015,Jason Derulo,2015,5,2015
FALSE,22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,77,0.738,0.868,B,-4.373,Minor,0.0731,0.0392,0.00169,0.388,0.336,122.003,212640,4,7/17/2015,Calvin Harris,2015,7,2015
FALSE,2Fn3coxd0xAZ09JtrgcgHa,Middle,1,0.604,0.745,A,-4.103,Major,0.0385,0.0161,0,0.0542,0.205,104.941,220573,4,10/16/2015,DJ Snake,2015,10,2015
